City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Ketchikan,US,2022-02-21 16:10:10,55.3422,-131.6461,33.78,64,20,5.75,few clouds
206,Wilmington,US,2022-02-21 16:08:08,34.2257,-77.9447,68.95,75,75,1.01,broken clouds
207,Harsova,RO,2022-02-21 16:10:10,44.6833,27.9333,49.26,53,8,5.23,clear sky
208,Mehamn,NO,2022-02-21 16:10:11,71.0357,27.8492,17.51,86,0,10.36,clear sky
209,Manyana,BW,2022-02-21 16:10:11,-23.4,21.7167,90.28,23,55,7.54,broken clouds
210,Marsaxlokk,MT,2022-02-21 16:10:11,35.8419,14.5431,58.08,82,75,23.02,broken clouds
211,Vyazma,RU,2022-02-21 16:10:12,55.2104,34.2951,32.52,98,100,13.47,light snow
212,Khuzdar,PK,2022-02-21 16:10:12,27.7384,66.6434,69.24,21,0,13.18,clear sky
213,Ust-Koksa,RU,2022-02-21 16:10:12,50.2696,85.6108,7.7,80,3,1.23,clear sky
214,Harper,LR,2022-02-21 16:10:13,4.375,-7.7169,83.61,73,86,9.82,overcast clouds
215,Davidson,US,2022-02-21 16:07:30,36.1501,-86.7833,63.05,37,75,13.8,broken clouds
216,Roebourne,AU,2022-02-21 16:10:13,-20.7833,117.1333,86.2,66,80,8.34,broken clouds
217,Bozeman,US,2022-02-21 16:10:13,45.6796,-111.0386,3.88,78,100,11.99,overcast clouds
218,Westport,US,2022-02-21 16:05:49,41.1415,-73.3579,47.75,60,66,3.0,broken clouds
219,Suzdal,RU,2022-02-21 16:10:14,56.4281,40.4414,31.19,94,100,8.23,overcast clouds
220,Asfi,MA,2022-02-21 16:10:14,32.2994,-9.2372,69.49,58,0,14.76,clear sky
221,Guerrero Negro,MX,2022-02-21 16:10:14,27.9769,-114.0611,60.03,56,27,14.07,scattered clouds
222,Kununurra,AU,2022-02-21 16:10:15,-15.7667,128.7333,78.78,83,39,3.44,scattered clouds
223,Deputatskiy,RU,2022-02-21 16:10:15,69.3,139.9,-26.09,82,81,5.68,broken clouds
224,Marfino,RU,2022-02-21 16:10:15,55.7028,37.3822,35.85,81,75,8.95,snow
225,Flinders,AU,2022-02-21 16:10:16,-34.5833,150.8552,72.21,89,100,5.99,overcast clouds
226,Azangaro,PE,2022-02-21 16:10:16,-14.9167,-70.2167,58.33,42,67,1.66,broken clouds
227,Anori,BR,2022-02-21 16:10:16,-3.7728,-61.6442,80.67,81,100,3.33,overcast clouds
228,Dingle,PH,2022-02-21 16:10:16,10.9995,122.6711,74.41,90,99,6.82,light rain
229,Abha,SA,2022-02-21 16:11:17,18.2164,42.5053,64.65,18,0,8.05,clear sky
230,Pisco,PE,2022-02-21 16:11:17,-13.7,-76.2167,71.65,83,75,10.36,mist
231,Roma,US,2022-02-21 16:11:18,43.2128,-75.4557,46.87,36,40,3.44,scattered clouds
232,Mareeba,AU,2022-02-21 16:09:17,-17.0,145.4333,75.92,95,32,2.3,scattered clouds
233,Aksu,CN,2022-02-21 16:11:18,41.1231,80.2644,31.89,40,0,4.9,clear sky
234,Marsa Matruh,EG,2022-02-21 16:11:19,31.3525,27.2453,64.87,55,73,4.68,broken clouds
235,Hegra,NO,2022-02-21 16:11:19,63.4644,11.114,29.41,86,75,3.44,light snow
236,Caravelas,BR,2022-02-21 16:11:19,-17.7125,-39.2481,86.02,57,35,10.04,scattered clouds
237,Chokurdakh,RU,2022-02-21 16:11:20,70.6333,147.9167,-44.46,100,55,3.91,broken clouds
238,Sitka,US,2022-02-21 16:11:20,57.0531,-135.33,28.29,50,0,0.0,clear sky
239,Lowestoft,GB,2022-02-21 16:11:21,52.4752,1.7516,52.05,70,8,21.3,clear sky
240,Jiayuguan,CN,2022-02-21 16:11:21,39.8167,98.3,21.58,57,1,4.45,clear sky
241,Salalah,OM,2022-02-21 16:11:21,17.0151,54.0924,77.09,69,0,4.61,clear sky
242,Tuktoyaktuk,CA,2022-02-21 16:11:22,69.4541,-133.0374,-20.02,93,8,10.13,clear sky
243,Aguimes,ES,2022-02-21 16:11:22,27.9054,-15.4461,63.66,59,40,8.05,scattered clouds
244,Tres Arroyos,AR,2022-02-21 16:11:22,-38.3739,-60.2798,75.29,43,20,14.67,few clouds
245,Hirado,JP,2022-02-21 16:11:23,33.3597,129.5531,43.39,51,100,20.11,overcast clouds
246,Datong,CN,2022-02-21 16:11:23,40.0936,113.2914,5.45,83,3,3.96,clear sky
247,Usinsk,RU,2022-02-21 16:11:23,65.9939,57.5281,24.08,97,100,7.92,overcast clouds
248,Kloulklubed,PW,2022-02-21 16:11:24,7.0419,134.2556,81.1,80,99,24.87,overcast clouds
249,Ulladulla,AU,2022-02-21 16:11:24,-35.35,150.4667,65.77,90,100,5.75,overcast clouds
250,Agutaya,PH,2022-02-21 16:11:24,11.148,120.9417,80.55,81,97,23.58,overcast clouds
251,Mandalgovi,MN,2022-02-21 16:11:25,45.7625,106.2708,5.77,67,0,8.05,clear sky
252,Hasaki,JP,2022-02-21 16:11:25,35.7333,140.8333,36.0,41,6,23.13,clear sky
253,Nautanwa,IN,2022-02-21 16:11:26,27.4333,83.4167,58.59,47,0,3.47,clear sky
254,Bud,US,2022-02-21 16:11:26,39.447,-86.1758,55.69,56,63,11.25,broken clouds
255,Kurayoshi,JP,2022-02-21 16:11:26,35.4333,133.8167,28.99,74,69,9.95,broken clouds
