City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Rudnogorsk,RU,2022-02-19 17:26:53,57.2639,103.7519,2.17,98,100,1.45
214,Santa Cruz,BO,2022-02-19 17:26:53,-17.8,-63.1667,89.65,58,75,10.36
215,Te Anau,NZ,2022-02-19 17:26:53,-45.4167,167.7167,42.12,94,11,1.19
216,Aksarka,RU,2022-02-19 17:26:54,66.5606,67.7975,28.4,95,100,16.8
217,Honiara,SB,2022-02-19 17:26:54,-9.4333,159.95,78.21,88,54,1.74
218,Bambanglipuro,ID,2022-02-19 17:26:54,-7.95,110.2833,61.61,86,96,8.03
219,Puerto El Triunfo,SV,2022-02-19 17:27:55,13.2833,-88.55,96.96,38,12,1.1
220,Pomi,RO,2022-02-19 17:27:55,47.7,23.3167,47.62,81,75,3.44
221,Sembe,CG,2022-02-19 17:27:55,1.6481,14.5806,80.85,57,98,3.71
222,Beloha,MG,2022-02-19 17:27:56,-25.1667,45.05,74.5,77,0,18.95
223,Grindavik,IS,2022-02-19 17:27:56,63.8424,-22.4338,30.67,74,100,36.82
224,Tiksi,RU,2022-02-19 17:27:32,71.6872,128.8694,-25.06,99,68,6.49
225,Penzance,GB,2022-02-19 17:27:56,50.1186,-5.5371,51.01,83,100,25.64
226,Ifanadiana,MG,2022-02-19 17:27:57,-21.3,47.6333,68.86,96,89,2.15
227,Kudat,MY,2022-02-19 17:27:57,6.8837,116.8477,80.53,89,20,2.3
228,Sao Gabriel Da Cachoeira,BR,2022-02-19 17:27:57,-0.1303,-67.0892,87.6,70,40,5.75
229,Ialibu,PG,2022-02-19 17:27:58,-6.2821,143.9935,58.21,99,100,1.77
230,Kununurra,AU,2022-02-19 17:27:58,-15.7667,128.7333,78.78,89,32,0.0
231,Avera,US,2022-02-19 17:27:58,33.194,-82.5271,55.94,42,1,8.7
232,Magan,ES,2022-02-19 17:27:59,39.9683,-3.931,57.02,61,100,13.53
233,Thompson,CA,2022-02-19 17:25:56,55.7435,-97.8558,-14.64,70,100,3.44
234,Provideniya,RU,2022-02-19 17:27:59,64.3833,-173.3,-14.48,92,20,5.48
235,Padang,ID,2022-02-19 17:27:59,-0.9492,100.3543,78.78,81,65,3.09
236,Touros,BR,2022-02-19 17:28:00,-5.1989,-35.4608,88.7,64,87,11.07
237,Ntungamo,UG,2022-02-19 17:28:00,-0.8833,29.65,73.11,57,96,3.53
238,Mackay,AU,2022-02-19 17:27:47,-21.15,149.2,78.78,78,40,16.11
239,Ponta Do Sol,PT,2022-02-19 17:28:01,32.6667,-17.1,61.43,60,51,11.65
240,Pisco,PE,2022-02-19 17:27:29,-13.7,-76.2167,75.25,69,0,8.05
241,Zhezkazgan,KZ,2022-02-19 17:28:01,47.8043,67.7144,2.16,93,5,5.48
242,Palmer,US,2022-02-19 17:27:53,42.1584,-72.3287,38.75,52,100,17.27
243,Laguna,US,2022-02-19 17:28:02,38.421,-121.4238,63.23,67,0,5.75
244,San Nicolas,PH,2022-02-19 17:28:02,18.1725,120.5953,76.5,84,100,7.18
245,Manta,EC,2022-02-19 17:28:03,-0.95,-80.7333,82.18,74,75,5.75
246,Talnakh,RU,2022-02-19 17:28:03,69.4865,88.3972,20.21,94,100,16.24
247,Naraina,IN,2022-02-19 17:28:03,26.7833,75.2,64.54,22,0,9.28
248,Coahuayana,MX,2022-02-19 17:28:04,18.7333,-103.6833,89.08,50,14,3.91
249,Kasongo-Lunda,CD,2022-02-19 17:28:04,-6.4667,16.8167,72.66,95,95,1.01
250,Solikamsk,RU,2022-02-19 17:28:04,59.6196,56.7729,25.63,93,100,12.77
251,Bassano,CA,2022-02-19 17:28:05,50.7834,-112.4685,46.63,63,81,11.43
252,Coquimbo,CL,2022-02-19 17:28:05,-29.9533,-71.3436,69.53,68,0,14.97
253,Beyneu,KZ,2022-02-19 17:28:05,45.3167,55.2,38.75,72,0,9.48
254,Rudnaya Pristan,RU,2022-02-19 17:28:06,44.3614,135.8116,16.12,77,82,8.14
255,Sibu,MY,2022-02-19 17:24:13,2.3,111.8167,75.51,100,40,2.3
256,Port Lincoln,AU,2022-02-19 17:27:27,-34.7333,135.8667,60.01,75,100,8.43
257,Kunyang,CN,2022-02-19 17:28:06,27.6658,120.5658,39.72,79,100,7.96
258,Luanda,AO,2022-02-19 17:28:06,-8.8368,13.2343,80.6,83,40,6.91
259,Yeppoon,AU,2022-02-19 17:28:07,-23.1333,150.7333,74.98,72,56,14.52
260,Huarmey,PE,2022-02-19 17:28:07,-10.0681,-78.1522,77.38,69,38,8.61
261,Rennes,FR,2022-02-19 17:27:48,48.1667,-1.6667,48.58,76,100,19.57
262,Tuktoyaktuk,CA,2022-02-19 17:28:08,69.4541,-133.0374,-25.6,75,75,4.61
263,Yaan,NG,2022-02-19 17:28:08,7.3833,8.5667,97.02,7,95,5.44
264,Necochea,AR,2022-02-19 17:29:08,-38.5473,-58.7368,80.04,45,4,13.11
265,Boras,SE,2022-02-19 17:29:09,57.721,12.9401,37.54,92,76,8.72
266,Ancud,CL,2022-02-19 17:29:09,-41.8697,-73.8203,61.43,92,95,11.12
267,Narsaq,GL,2022-02-19 17:29:09,60.9167,-46.05,14.22,72,100,4.38
268,Nioro,GM,2022-02-19 17:29:10,13.35,-15.75,99.82,8,25,7.14
269,Chandvad,IN,2022-02-19 17:29:10,20.3333,74.25,70.48,41,5,5.21
270,Gao,ML,2022-02-19 17:29:11,16.6362,1.637,91.47,7,10,10.09
271,Naze,JP,2022-02-19 17:29:11,28.3667,129.4833,54.73,77,93,24.99
272,Cap Malheureux,MU,2022-02-19 17:29:12,-19.9842,57.6142,80.47,87,100,17.0
273,Merauke,ID,2022-02-19 17:29:12,-8.4667,140.3333,80.31,81,100,2.28
274,Skelmersdale,GB,2022-02-19 17:29:12,53.5502,-2.7735,39.4,89,95,3.0
275,Vieux-Habitants,GP,2022-02-19 17:29:13,16.0589,-61.7659,83.71,65,54,11.32
276,Najran,SA,2022-02-19 17:28:54,17.4924,44.1277,83.05,41,7,6.02
277,Santa Rosa,PH,2022-02-19 17:29:14,14.3122,121.1114,81.1,76,100,7.92
278,Le Port,RE,2022-02-19 17:29:14,-20.9373,55.2919,80.6,80,100,10.0
279,Anderson,US,2022-02-19 17:29:15,34.5334,-82.6499,56.44,30,0,8.05
280,Carman,CA,2022-02-19 17:26:36,49.4992,-98.0016,7.14,72,99,16.11
281,Codrington,AU,2022-02-19 17:29:15,-38.2667,141.9667,52.65,87,92,3.67
282,Mago,RU,2022-02-19 17:29:16,53.2514,140.1822,4.69,97,100,2.62
283,Charters Towers,AU,2022-02-19 17:29:16,-20.1,146.2667,71.87,85,0,6.78
284,Saint-Francois,FR,2022-02-19 17:29:17,46.4154,3.9054,45.84,53,0,4.61
285,Rosarito,MX,2022-02-19 17:29:17,32.3333,-117.0333,70.41,31,0,2.28
286,Jaisalmer,IN,2022-02-19 17:29:17,26.9147,70.9181,72.64,20,0,6.02
287,Asau,RO,2022-02-19 17:29:18,46.4333,26.4,45.52,70,40,7.63
288,Jamame,SO,2022-02-19 17:27:22,0.0722,42.7506,77.09,84,75,11.74
289,Khorramshahr,IR,2022-02-19 17:29:18,30.4397,48.1664,73.35,46,100,16.11
290,Bose,IT,2022-02-19 17:29:19,45.4612,8.0137,51.39,81,100,2.73
291,Upernavik,GL,2022-02-19 17:29:19,72.7868,-56.1549,-5.53,76,95,6.58
292,Chipinge,ZW,2022-02-19 17:29:19,-20.1883,32.6236,66.15,75,47,3.2
293,Mount Isa,AU,2022-02-19 17:29:20,-20.7333,139.5,82.17,30,6,8.05
